description,category,amount
UPI - Swiggy One subscription meal,Food,396
UPI - Indian Railways booking fee,Transport,1095
Debit: Amazon Prime renewal bill,Entertainment,658
UPI - Zomato biryani order,Food,246
Debit: Flipkart sale purchase bill,Shopping,12521
Paid to Bowling alley session fee,Entertainment,529
Debit: Narayana Health checkup purchase,Health,1853
Anytime Fitness monthly,Health,834
Apple Music subscription payment,Entertainment,99
Online: Steam game purchase,Entertainment,1480
App: Mobile bill payment fee,Bills,846
UPI - Tanishq jewellery bill,Shopping,35613
UPI - Intercity cab hire purchase,Transport,1858
Debit: Reliance Fresh grocery run,Food,909
Swiggy Instamart order bill,Food,280
Online: Zara India fashion fee,Shopping,6647
Debit: OLA Electric scooter,Transport,277
Vi postpaid bill bill,Bills,772
Paid to Revv car rental bill,Transport,2516
Online: BookMyShow movie tickets,Entertainment,624
UPI - Max Fashion store purchase,Shopping,1575
Debit: Gold's Gym monthly fee purchase,Health,2714
Paid to Manipal Hospital OPD payment,Health,532
Debit: KFC bucket order,Food,679
Behrouz Biryani order purchase,Food,310
DMart monthly groceries,Food,924
Hospital admission fees order,Health,7959
UPI - Westside clothing bill,Shopping,870
App: BookMyShow movie tickets purchase,Entertainment,753
Debit: HDFC Life insurance fee,Bills,8291
VR gaming arcade fee,Entertainment,740
App: Netflix monthly subscription,Entertainment,445
App: Ola cab ride payment,Transport,182
IGL gas bill Delhi bill,Bills,1563
UPI - National Museum entry,Entertainment,64
BigBasket weekly groceries payment,Food,1189
App: JioCinema premium plan purchase,Entertainment,163
Paid to SonyLIV monthly plan,Entertainment,362
App: Delhi Jal Board water fee,Bills,636
App: Zara India fashion order,Shopping,1267
LIC premium payment,Bills,14874
App: BESCOM electricity bill purchase,Bills,1221
Netmeds prescription order bill,Health,523
Online: Homefood tiffin service purchase,Food,233
Online: Zyla health app plan purchase,Health,392
UPI - Nike India shoes,Shopping,7507
Debit: Laser tag arena,Entertainment,531
UPI - Namma Metro daily pass order,Transport,51
App: Cab ride to office fee,Transport,309
UPI - Apple iPhone purchase bill,Shopping,79524
App: Bata shoe store order,Shopping,1243
App: Bajaj Finserv EMI fee,Bills,13606
UPI - Dream11 contest entry,Entertainment,722
SRL Diagnostics test order,Health,1036
Ola outstation ride order,Transport,656
Paid to More Supermarket shopping fee,Food,555
UPI - Myntra clothing haul,Shopping,2077
Paid to Grocery store vegetables fee,Food,228
MPL gaming entry fee purchase,Entertainment,393
Auto rickshaw fare purchase,Transport,186
Debit: Practo doctor consult,Health,363
Online: Laser tag arena,Entertainment,681
UPI - School bus fee monthly,Transport,994
Online: School bus fee monthly fee,Transport,1637
Westside clothing,Shopping,644
Online: Orthopaedic clinic fees,Health,2182
Insider.in concert ticket,Entertainment,1533
Paid to Apple iPhone purchase,Shopping,66265
App: JioMart grocery order fee,Food,518
Local kirana shop bill,Food,383
Snapdeal purchase fee,Shopping,1140
Internet bill monthly purchase,Bills,538
McDonald's meal bill,Food,292
Bowling alley session,Entertainment,445
Haldiram's snacks purchase,Food,449
App: Electricity bill online,Bills,2903
Paid to Stationery store supplies,Shopping,147
Chaayos tea and snacks,Food,296
Lalamove logistics payment,Transport,508
Apple iPhone purchase bill,Shopping,89735
Pizza Hut order online purchase,Food,710
Paid to Subway sandwich meal bill,Food,280
UPI - Bowling alley session,Entertainment,572
UPI - Swiggy dinner order payment,Food,242
UPI - IndiGo flight ticket order,Transport,3340
Debit: Myntra clothing haul,Shopping,4889
Swiggy Instamart order fee,Food,749
App: Hospital admission fees order,Health,6396
Nike India shoes fee,Shopping,6251
Grocery essentials order,Shopping,1204
Online: Cafe Coffee Day drink bill,Food,285
Debit: Imagica theme park entry,Entertainment,1410
Adidas India purchase bill,Shopping,3640
MSEDCL electricity bill payment,Bills,4069
HealthifyMe premium order,Health,837
JioMart grocery order,Food,1071
Paid to Airtel postpaid bill order,Bills,414
UPI - Starbucks coffee order order,Food,682
Credit card bill payment,Bills,36307
App: Titan watch purchase,Shopping,16632
Eatfit healthy meal delivery,Food,537
App: Urban Ladder sofa,Shopping,6891
Sunburn Festival ticket purchase,Entertainment,3760
UPI - Ola cab ride order,Transport,161
Amul milk and curd,Food,320
UPI - Shoppers Stop purchase order,Shopping,5920
Online: Boat earphones online bill,Shopping,1123
Electricity bill online bill,Bills,3877
UPI - Mainland China dinner order,Food,1135
App: Freshmenu meal delivery,Food,229
Realme mobile order payment,Shopping,12416
Online: Music festival pass Goa fee,Entertainment,5973
Yoga class subscription,Health,1149
App: Cardiologist OPD visit order,Health,1472
UPI - Dermatologist visit purchase,Health,1642
Online: Zoo entry ticket,Entertainment,86
Paid to IGL gas bill Delhi,Bills,1765
Paid to Kitchen appliance purchase fee,Shopping,7924
Licious meat delivery,Food,1040
Paid to Taxi to airport purchase,Transport,902
Paid to Lybrate doctor consult,Health,495
UPI - Fortis Hospital consult,Health,1055
App: Noise smartwatch order,Shopping,3959
Debit: Licious meat delivery,Food,952
Himalaya wellness products fee,Health,727
Paid to IRCTC train ticket payment,Transport,2060
Paid to Rapido bike taxi,Transport,111
Paid to Anytime Fitness monthly bill,Health,2168
Online: Apollo 24x7 teleconsult,Health,554
Debit: 1mg online pharmacy,Health,2232
UPI - SRL Diagnostics test,Health,448
Paid to School bus fee monthly,Transport,1558
Online: Spotify Premium India purchase,Entertainment,65
Debit: Tata Play recharge payment,Bills,164
Homefood tiffin service payment,Food,306
Online: Football turf rental bill,Entertainment,1026
App: Anytime Fitness monthly bill,Health,2275
UPI - Orthopaedic clinic fees,Health,1672
Ola outstation ride,Transport,1569
YouTube Premium plan,Entertainment,131
App: Blablacar carpool purchase,Transport,386
Debit: Jio mobile recharge order,Bills,227
Airtel broadband plan,Bills,1841
Paid to Nehru Planetarium ticket order,Entertainment,146
Online: Eye checkup fee,Health,709
Meru cab airport bill,Transport,906
App: FirstCry baby products,Shopping,3642
Debit: PlayStation Store India,Entertainment,3213
Tata Power monthly bill,Bills,2596
Social restaurant bill order,Food,1736
Online: Meru cab airport,Transport,1160
Online: Bata shoe store fee,Shopping,873
Online: DMart monthly groceries bill,Food,1756
Online: Escape room booking,Entertainment,902
App: Cafe Coffee Day drink,Food,124
Paid to BoardGame cafe session order,Entertainment,367
Diabetologist consultation,Health,1071
Paid to Uber Moto ride fee,Transport,169
UPI - MedPlus pharmacy purchase order,Health,881
HealthifyMe premium,Health,1386
Online: Blinkit grocery order payment,Food,1069
Debit: Municipal tax payment payment,Bills,5174
Paid to ENT specialist consult payment,Health,405
Netflix monthly subscription order,Entertainment,552
UPI - Revv car rental fee,Transport,1698
FASTag toll recharge,Transport,353
UPI - GoAir ticket booking,Transport,5743
UPI - Westside clothing,Shopping,1488
BMTC bus pass recharge purchase,Transport,738
App: Neuberg lab test booking payment,Health,740
UPI - Vistara flight ticket bill,Transport,6049
UPI - Zomato lunch delivery payment,Food,617
Debit: IRCTC train ticket fee,Transport,2109
Paid to BPCL fuel station,Transport,1463
HP gas refill payment order,Bills,803
Zepto instant delivery bill,Food,421
Paid to Restaurant dine-in bill,Food,1304
Online: Box8 meal order payment,Food,426
Debit: Nutritionist consult bill,Health,567
Paid to Ajio fashion order,Shopping,3810
Paid to FreshToHome fish order payment,Food,359
UPI - FASTag toll recharge,Transport,899
Online: Titan watch purchase fee,Shopping,12544
Paid to Samsung Galaxy online bill,Shopping,30013
Paid to Meesho order,Shopping,1650
Wonderla amusement park payment,Entertainment,670
Debit: Spotify Premium India payment,Entertainment,100
UPI - Amazon Pay Later bill,Bills,18483
Online: LIC premium payment,Bills,3776
Debit: Mobile bill payment,Bills,997
Paid to Zomato Live event ticket fee,Entertainment,2570
App: Bajaj Finserv EMI payment,Bills,7026
Online: Zoomcar weekend rental,Transport,4509
Paid to Eye checkup fee order,Health,694
Porter bike delivery,Transport,548
Paid to Weekend movie outing,Entertainment,525
Online: BigBasket weekly groceries purchase,Food,1069
Society maintenance fee order,Bills,2840
Debit: Apollo 24x7 teleconsult fee,Health,143
Air India booking,Transport,2378
Paid to EsselWorld ticket,Entertainment,556
Paid to Nike India shoes,Shopping,2748
App: Music festival pass Goa bill,Entertainment,3237
Mainland China dinner,Food,1550
Debit: Vaccination clinic fees fee,Health,1263
Amul milk and curd fee,Food,224
Online: Mahanagar Gas bill bill,Bills,1885
Fruit market purchase bill,Food,165
App: Metropolis lab test,Health,1395
App: Bata shoe store purchase,Shopping,2172
Tata Cliq electronics,Shopping,5526
UPI - JioMart grocery order,Food,716
Healthkart supplements,Health,2110
Debit: boAt speaker purchase,Shopping,2603
Debit: Stationery store supplies,Shopping,400
UPI - Imagica theme park entry payment,Entertainment,1038
App: Adidas India purchase fee,Shopping,1658
Paid to MakeMyTrip flight purchase,Transport,4619
App: Airport parking charges order,Transport,492
Theobroma bakery order,Food,317
JioCinema premium plan order,Entertainment,92
Home decor store payment,Shopping,3624
Online: Zoomcar weekend rental fee,Transport,1024
Blinkit grocery order payment,Food,1480
Paid to Apollo Pharmacy medicines bill,Health,1869
UPI - Yulu cycle rental,Transport,126
UPI - Cricket box session purchase,Entertainment,273
Online: Bakery bread and items,Food,108
UPI - Pepperfry furniture,Shopping,18120
Debit: Airtel postpaid bill,Bills,934
Ajio fashion order payment,Shopping,1286
Hathway broadband bill fee,Bills,859
Debit: KFC bucket order payment,Food,573
UPI - Grocery store vegetables purchase,Food,204
ENT specialist consult bill,Health,1495
App: Reliance Digital gadget,Shopping,39315
Zomato Pro order,Food,378
App: Orthopaedic clinic fees,Health,1573
Online: Car loan EMI payment bill,Bills,7655
Paid to Comedy show ticket purchase,Entertainment,1662
Online: Weekend movie outing,Entertainment,307
Debit: Realme mobile order fee,Shopping,4176
Online: BMTC bus pass recharge,Transport,632
Online: Bedsheet set online order,Shopping,416
Gas cylinder booking,Bills,1066
Country Delight milk order,Food,697
BSES power bill Delhi,Bills,2490
UPI - Cafe Coffee Day drink,Food,360
Imagica theme park entry order,Entertainment,948
Yulu cycle rental,Transport,58
Debit: Indian Oil fuel fill bill,Transport,1739
UPI - Yulu cycle rental bill,Transport,59
Online: Football turf rental order,Entertainment,417
Online: Swiggy Genie delivery,Food,221
Debit: Smaaash gaming zone payment,Entertainment,963
Fabindia kurta set purchase,Shopping,1833
Online: Fabindia kurta set,Shopping,2662
Online: Amazon Pay Later bill,Bills,9940
Paid to Simpl Pay Later dues,Bills,1082
Paid to Smaaash gaming zone,Entertainment,559
Paid to Cardiologist OPD visit purchase,Health,1538
UPI - StepSetGo premium plan order,Health,328
Crossword bookstore,Shopping,1448
Online: Swiggy dinner order,Food,130
Paid to Columbia Asia clinic order,Health,622
Tata Power monthly bill payment,Bills,3362
Online: IPL match ticket purchase,Entertainment,5215
Online: Tata 1mg lab test purchase,Health,2401
Woodland shoes purchase,Shopping,2686
Aquarium entry fee,Entertainment,371
NHAI toll payment,Transport,222
Croma electronics purchase,Shopping,17546
App: Faasos wrap delivery,Food,276
App: Burger King outlet meal bill,Food,652
UPI - BMTC bus pass recharge purchase,Transport,541
Paytm movie tickets,Entertainment,541
Online: Uber intercity ride purchase,Transport,1884
Paid to OnePlus store purchase purchase,Shopping,31049
Debit: Internet bill monthly,Bills,490
App: Escape room booking,Entertainment,482
Debit: Burger King outlet meal payment,Food,535
Physiotherapy session,Health,723
Paid to Delhi Metro token bill,Transport,61
Amazon Prime renewal,Entertainment,903
UPI - Weekend movie outing order,Entertainment,516
YouTube Premium plan order,Entertainment,160
Debit: Theobroma bakery order,Food,463
Zepto instant delivery,Food,538
Debit: Abhibus booking fee,Transport,877
MPL gaming entry fee bill,Entertainment,231
Paid to Kitchen appliance purchase bill,Shopping,6655
Online: Netmeds prescription order,Health,2434
App: RedBus bus ticket,Transport,1251
BookMyShow merchandise bill,Shopping,300
Paid to HDFC Life insurance,Bills,9018
Swiggy Genie delivery,Food,311
UPI - Uber auto Bangalore payment,Transport,66
W for Woman clothing bill,Shopping,2707
Badminton court booking bill,Entertainment,372
App: Titan watch purchase purchase,Shopping,12893
App: BBMP property tax,Bills,9443
Debit: MPL gaming entry fee,Entertainment,334
Debit: Paradise Biryani dine-in payment,Food,571
App: Physiotherapy session bill,Health,1391
FreshToHome fish order,Food,671
Netflix monthly subscription,Entertainment,611
Debit: Bounce scooter ride fee,Transport,156
Xbox Game Pass bill,Entertainment,348
App: Airtel postpaid bill fee,Bills,376
BESCOM electricity bill purchase,Bills,1907
Online: Mumbai local train pass bill,Transport,446
Electronic accessories buy fee,Shopping,1372
UPI - Hamleys toy store bill,Shopping,1975
Online: Dream11 contest entry,Entertainment,344
Debit: Manipal Hospital OPD bill,Health,943
Paid to Carnival Cinemas tickets payment,Entertainment,212
Cult.fit gym membership purchase,Health,2583
Online: Practo Plus plan purchase,Health,647
UPI - Electronic accessories buy purchase,Shopping,1097
App: SonyLIV monthly plan order,Entertainment,445
Paid to Pantaloons shopping order,Shopping,2198
SonyLIV monthly plan fee,Entertainment,176
Grocery essentials order fee,Shopping,889
Pepperfry furniture bill,Shopping,6054
UPI - Amazon India order order,Shopping,9728
Paid to Fortis Hospital consult fee,Health,1378
Online: Xiaomi product online,Shopping,1725
UPI - Nehru Planetarium ticket bill,Entertainment,66
Online: Steam game purchase purchase,Entertainment,2924
App: Apollo Pharmacy medicines order,Health,274
Paid to Auto rickshaw fare,Transport,253
Paid to ENT specialist consult,Health,1271
Cricket box session fee,Entertainment,279
Paid to Neuberg lab test booking fee,Health,1523
Dr Lal PathLabs test,Health,2142
Smaaash gaming zone,Entertainment,330
App: Croma electronics purchase,Shopping,5282
Online: Himalaya wellness products payment,Health,363
Abhibus booking fee,Transport,710
UPI - Reliance Fresh grocery run payment,Food,1498
Debit: Tata 1mg lab test bill,Health,1424
Paid to StepSetGo premium plan,Health,456
Paid to LIC premium payment bill,Bills,11763
Snapdeal purchase order,Shopping,672
Debit: HDFC Life insurance,Bills,13881
Online: BluSmart electric cab fee,Transport,114
SBI home loan EMI,Bills,21851
Debit: PVR IMAX movie booking payment,Entertainment,754
Online: LazyPay repayment fee,Bills,1529
Domino's pizza delivery,Food,796
Metro card recharge order,Transport,213
Debit: Rapido bike taxi bill,Transport,177
